[Rank 2 | Thread 3] [Time 0.0148756] [INITIALIZATION] Initial bounds: lb = 4, ub = 9
  [Rank 2 | Thread 3] [Time 0.0151427] [BRANCH] Processing node: lb = 4, ub = 9
  [Rank 2 | Thread 3] [Time 1.43231] [BRANCH] Branching on vertices: u = 40, v = 380
  [Rank 2 | Thread 3] [Time 1.43812] [Add Edge] depth 1, lb = 5, ub = 9
  [Rank 2 | Thread 3] [Time 1.43819] [UPDATE] Updated best_ub: 9
    [Rank 2 | Thread 3] [Time 1.43826] [BRANCH] Processing node: lb = 5, ub = 9
    [Rank 2 | Thread 3] [Time 2.90839] [BRANCH] Branching on vertices: u = 190, v = 370
    [Rank 2 | Thread 3] [Time 2.91154] [Add Edge] depth 2, lb = 3, ub = 10
    [Rank 2 | Thread 3] [Time 2.91158] [UPDATE] Updated best_ub: 9
      [Rank 2 | Thread 3] [Time 2.91163] [BRANCH] Processing node: lb = 3, ub = 10
      [Rank 2 | Thread 3] [Time 4.29901] [BRANCH] Branching on vertices: u = 33, v = 303
      [Rank 2 | Thread 3] [Time 4.3035] [Merge] depth 3, lb = 3, ub = 10
      [Rank 2 | Thread 3] [Time 4.30356] [UPDATE] Updated best_ub: 9
        [Rank 2 | Thread 3] [Time 4.30377] [BRANCH] Processing node: lb = 3, ub = 9
        [Rank 2 | Thread 3] [Time 5.76676] [BRANCH] Branching on vertices: u = 33, v = 393
        [Rank 2 | Thread 3] [Time 5.77385] [UPDATE] Updated best_ub: 9
          [Rank 2 | Thread 3] [Time 5.77394] [BRANCH] Processing node: lb = 5, ub = 9
[Rank 2 | Thread 1] [Time 6.11774] [UPDATE] Gathered best_ub 9
          [Rank 2 | Thread 3] [Time 7.13831] [BRANCH] Branching on vertices: u = 33, v = 388
          [Rank 2 | Thread 3] [Time 7.14714] [UPDATE] Updated best_ub: 8
            [Rank 2 | Thread 3] [Time 7.14725] [BRANCH] Processing node: lb = 4, ub = 8
            [Rank 2 | Thread 3] [Time 8.40361] [BRANCH] Branching on vertices: u = 33, v = 53
            [Rank 2 | Thread 3] [Time 8.4115] [UPDATE] Updated best_ub: 8
              [Rank 2 | Thread 3] [Time 8.41161] [BRANCH] Processing node: lb = 4, ub = 10
              [Rank 2 | Thread 3] [Time 9.76916] [BRANCH] Branching on vertices: u = 33, v = 223
              [Rank 2 | Thread 3] [Time 9.77525] [UPDATE] Updated best_ub: 8
                [Rank 2 | Thread 3] [Time 9.77536] [BRANCH] Processing node: lb = 4, ub = 10
                [Rank 2 | Thread 3] [Time 11.1603] [BRANCH] Branching on vertices: u = 33, v = 338
                [Rank 2 | Thread 3] [Time 11.1731] [UPDATE] Updated best_ub: 8
                  [Rank 2 | Thread 3] [Time 11.1733] [BRANCH] Processing node: lb = 4, ub = 10
[Rank 2 | Thread 1] [Time 12.1242] [UPDATE] Gathered best_ub 8
                  [Rank 2 | Thread 3] [Time 12.6912] [BRANCH] Branching on vertices: u = 33, v = 113
                  [Rank 2 | Thread 3] [Time 12.6979] [UPDATE] Updated best_ub: 8
                    [Rank 2 | Thread 3] [Time 12.698] [BRANCH] Processing node: lb = 4, ub = 10
                    [Rank 2 | Thread 3] [Time 14.0036] [BRANCH] Branching on vertices: u = 33, v = 158
                    [Rank 2 | Thread 3] [Time 14.0096] [UPDATE] Updated best_ub: 8
                      [Rank 2 | Thread 3] [Time 14.0097] [BRANCH] Processing node: lb = 3, ub = 9
                      [Rank 2 | Thread 3] [Time 15.4404] [BRANCH] Branching on vertices: u = 33, v = 413
                      [Rank 2 | Thread 3] [Time 15.4508] [UPDATE] Updated best_ub: 8
                        [Rank 2 | Thread 3] [Time 15.4509] [BRANCH] Processing node: lb = 5, ub = 9
                        [Rank 2 | Thread 3] [Time 16.8063] [BRANCH] Branching on vertices: u = 32, v = 33
                        [Rank 2 | Thread 3] [Time 16.817] [UPDATE] Updated best_ub: 8
                          [Rank 2 | Thread 3] [Time 16.8172] [BRANCH] Processing node: lb = 5, ub = 10
[Rank 2 | Thread 1] [Time 18.1312] [UPDATE] Gathered best_ub 8
                          [Rank 2 | Thread 3] [Time 18.1431] [BRANCH] Branching on vertices: u = 32, v = 188
                          [Rank 2 | Thread 3] [Time 18.1544] [UPDATE] Updated best_ub: 8
                            [Rank 2 | Thread 3] [Time 18.1546] [BRANCH] Processing node: lb = 4, ub = 10
                            [Rank 2 | Thread 3] [Time 19.5219] [BRANCH] Branching on vertices: u = 32, v = 166
                            [Rank 2 | Thread 3] [Time 19.5285] [UPDATE] Updated best_ub: 8
                              [Rank 2 | Thread 3] [Time 19.5286] [BRANCH] Processing node: lb = 4, ub = 9
                              [Rank 2 | Thread 3] [Time 20.8153] [BRANCH] Branching on vertices: u = 32, v = 122
                              [Rank 2 | Thread 3] [Time 20.8217] [UPDATE] Updated best_ub: 8
                                [Rank 2 | Thread 3] [Time 20.8218] [BRANCH] Processing node: lb = 5, ub = 10
                                [Rank 2 | Thread 3] [Time 22.1047] [BRANCH] Branching on vertices: u = 32, v = 403
                                [Rank 2 | Thread 3] [Time 22.1116] [UPDATE] Updated best_ub: 8
                                  [Rank 2 | Thread 3] [Time 22.1117] [BRANCH] Processing node: lb = 4, ub = 10
                                  [Rank 2 | Thread 3] [Time 23.5287] [BRANCH] Branching on vertices: u = 32, v = 288
