[Rank 3 | Thread 3] [Time 0.0176111] [INITIALIZATION] Initial bounds: lb = 4, ub = 9
  [Rank 3 | Thread 3] [Time 0.0179416] [BRANCH] Processing node: lb = 4, ub = 9
  [Rank 3 | Thread 3] [Time 1.43215] [BRANCH] Branching on vertices: u = 40, v = 380
  [Rank 3 | Thread 3] [Time 1.43684] [Add Edge] depth 1, lb = 4, ub = 9
  [Rank 3 | Thread 3] [Time 1.43689] [UPDATE] Updated best_ub: 9
    [Rank 3 | Thread 3] [Time 1.43696] [BRANCH] Processing node: lb = 4, ub = 9
    [Rank 3 | Thread 3] [Time 2.79104] [BRANCH] Branching on vertices: u = 190, v = 370
    [Rank 3 | Thread 3] [Time 2.79471] [Add Edge] depth 2, lb = 4, ub = 10
    [Rank 3 | Thread 3] [Time 2.79475] [UPDATE] Updated best_ub: 9
      [Rank 3 | Thread 3] [Time 2.79481] [BRANCH] Processing node: lb = 4, ub = 10
      [Rank 3 | Thread 3] [Time 4.16829] [BRANCH] Branching on vertices: u = 33, v = 303
      [Rank 3 | Thread 3] [Time 4.17311] [Add Edge] depth 3, lb = 3, ub = 10
      [Rank 3 | Thread 3] [Time 4.17315] [UPDATE] Updated best_ub: 9
        [Rank 3 | Thread 3] [Time 4.17322] [BRANCH] Processing node: lb = 3, ub = 10
        [Rank 3 | Thread 3] [Time 5.5486] [BRANCH] Branching on vertices: u = 33, v = 393
        [Rank 3 | Thread 3] [Time 5.5533] [Merge] depth 4, lb = 3, ub = 10
        [Rank 3 | Thread 3] [Time 5.55336] [UPDATE] Updated best_ub: 9
          [Rank 3 | Thread 3] [Time 5.55342] [BRANCH] Processing node: lb = 3, ub = 10
[Rank 3 | Thread 1] [Time 6.13159] [UPDATE] Gathered best_ub 9
          [Rank 3 | Thread 3] [Time 6.92093] [BRANCH] Branching on vertices: u = 33, v = 388
          [Rank 3 | Thread 3] [Time 6.92911] [UPDATE] Updated best_ub: 9
