[Rank 1 | Thread 3] [Time 0.00748863] [INITIALIZATION] Initial bounds: lb = 4, ub = 13
  [Rank 1 | Thread 3] [Time 0.0078116] [BRANCH] Processing node: lb = 4, ub = 13
  [Rank 1 | Thread 3] [Time 2.35917] [BRANCH] Branching on vertices: u = 214, v = 439
  [Rank 1 | Thread 3] [Time 2.36061] [Add Edge] depth 1, lb = 4, ub = 11
  [Rank 1 | Thread 3] [Time 2.36065] [UPDATE] Updated best_ub: 11
    [Rank 1 | Thread 3] [Time 2.3607] [BRANCH] Processing node: lb = 4, ub = 11
    [Rank 1 | Thread 3] [Time 4.42267] [BRANCH] Branching on vertices: u = 441, v = 446
    [Rank 1 | Thread 3] [Time 4.42477] [Merge] depth 2, lb = 4, ub = 11
    [Rank 1 | Thread 3] [Time 4.42482] [UPDATE] Updated best_ub: 11
      [Rank 1 | Thread 3] [Time 4.42488] [BRANCH] Processing node: lb = 4, ub = 13
      [Rank 1 | Thread 3] [Time 6.53716] [BRANCH] Branching on vertices: u = 441, v = 171
      [Rank 1 | Thread 3] [Time 6.54019] [UPDATE] Updated best_ub: 11
        [Rank 1 | Thread 3] [Time 6.5403] [BRANCH] Processing node: lb = 3, ub = 14
        [Rank 1 | Thread 3] [Time 8.53216] [BRANCH] Branching on vertices: u = 441, v = 176
        [Rank 1 | Thread 3] [Time 8.53549] [UPDATE] Updated best_ub: 11
          [Rank 1 | Thread 3] [Time 8.53561] [BRANCH] Processing node: lb = 5, ub = 14
[Rank 1 | Thread 1] [Time 10.1213] [UPDATE] Gathered best_ub 11
          [Rank 1 | Thread 3] [Time 10.5287] [BRANCH] Branching on vertices: u = 441, v = 286
          [Rank 1 | Thread 3] [Time 10.533] [UPDATE] Updated best_ub: 10
            [Rank 1 | Thread 3] [Time 10.5331] [BRANCH] Processing node: lb = 3, ub = 13
            [Rank 1 | Thread 3] [Time 12.4994] [BRANCH] Branching on vertices: u = 441, v = 86
            [Rank 1 | Thread 3] [Time 12.5029] [UPDATE] Updated best_ub: 10
              [Rank 1 | Thread 3] [Time 12.503] [BRANCH] Processing node: lb = 5, ub = 14
              [Rank 1 | Thread 3] [Time 14.5894] [BRANCH] Branching on vertices: u = 441, v = 81
              [Rank 1 | Thread 3] [Time 14.5924] [UPDATE] Updated best_ub: 10
                [Rank 1 | Thread 3] [Time 14.5924] [BRANCH] Processing node: lb = 5, ub = 14
                [Rank 1 | Thread 3] [Time 16.4376] [BRANCH] Branching on vertices: u = 441, v = 356
                [Rank 1 | Thread 3] [Time 16.4405] [UPDATE] Updated best_ub: 10
                  [Rank 1 | Thread 3] [Time 16.4406] [BRANCH] Processing node: lb = 4, ub = 12
                  [Rank 1 | Thread 3] [Time 18.5119] [BRANCH] Branching on vertices: u = 441, v = 16
                  [Rank 1 | Thread 3] [Time 18.5146] [UPDATE] Updated best_ub: 10
                    [Rank 1 | Thread 3] [Time 18.5149] [BRANCH] Processing node: lb = 4, ub = 13
[Rank 1 | Thread 1] [Time 20.1436] [UPDATE] Gathered best_ub 10
                    [Rank 1 | Thread 3] [Time 20.3834] [BRANCH] Branching on vertices: u = 441, v = 351
                    [Rank 1 | Thread 3] [Time 20.388] [UPDATE] Updated best_ub: 10
                      [Rank 1 | Thread 3] [Time 20.3881] [BRANCH] Processing node: lb = 4, ub = 14
                      [Rank 1 | Thread 3] [Time 22.6306] [BRANCH] Branching on vertices: u = 441, v = 281
                      [Rank 1 | Thread 3] [Time 22.6348] [UPDATE] Updated best_ub: 10
                        [Rank 1 | Thread 3] [Time 22.635] [BRANCH] Processing node: lb = 5, ub = 13
                        [Rank 1 | Thread 3] [Time 24.7079] [BRANCH] Branching on vertices: u = 441, v = 191
                        [Rank 1 | Thread 3] [Time 24.7122] [UPDATE] Updated best_ub: 10
                          [Rank 1 | Thread 3] [Time 24.7123] [BRANCH] Processing node: lb = 4, ub = 12
                          [Rank 1 | Thread 3] [Time 26.9111] [BRANCH] Branching on vertices: u = 441, v = 76
                          [Rank 1 | Thread 3] [Time 26.9153] [UPDATE] Updated best_ub: 10
                            [Rank 1 | Thread 3] [Time 26.9155] [BRANCH] Processing node: lb = 5, ub = 14
                            [Rank 1 | Thread 3] [Time 29.1379] [BRANCH] Branching on vertices: u = 441, v = 405
                            [Rank 1 | Thread 3] [Time 29.1414] [UPDATE] Updated best_ub: 10
                              [Rank 1 | Thread 3] [Time 29.1417] [BRANCH] Processing node: lb = 5, ub = 14
