problem_instance_file_name mulsol.i.5.col
cmd line 
solver version 
number_of_vertices 186
number_of_edges: 3973
time_limit_sec 600
number_of_worker_processes 2
number_of_cores_per_worker 4
wall_time_sec 0.020652
is_within_time_limit 1
number_of_colors 31
2 1
1 2
17 1
26 2
25 3
24 4
23 5
22 6
21 7
20 8
19 9
31 10
28 11
27 12
29 13
30 14
18 15
32 16
16 3
3 4
14 5
13 6
10 7
12 8
9 9
11 10
8 11
7 12
60 17
6 13
49 14
71 18
50 15
5 16
51 17
15 18
4 19
52 20
53 21
54 22
83 19
85 20
63 23
61 24
67 25
66 26
70 27
86 21
65 28
89 22
90 23
92 24
93 25
95 26
96 27
107 29
116 28
34 28
129 29
163 23
130 29
164 24
88 27
175 17
143 29
33 30
133 30
165 25
134 30
132 31
82 23
137 30
114 29
115 30
144 30
131 30
121 29
174 18
120 30
145 31
110 28
109 29
118 29
119 29
111 29
117 30
99 28
98 29
124 28
125 29
159 28
157 30
155 30
173 19
148 29
147 30
146 30
38 17
141 29
138 29
136 30
135 30
81 22
36 28
35 29
156 30
154 30
153 30
151 29
87 25
105 29
172 20
149 29
126 28
123 28
122 29
39 17
97 28
139 29
100 29
113 28
112 29
101 29
102 29
103 29
104 29
106 29
94 26
171 21
40 17
80 21
91 24
84 24
79 20
170 22
41 17
169 23
78 24
42 17
168 24
46 14
43 17
64 25
44 17
77 19
47 14
69 19
182 23
181 23
45 17
48 14
73 20
74 21
56 17
55 17
178 17
72 20
37 18
184 19
57 17
58 17
179 20
177 18
76 19
59 17
75 19
176 17
167 17
166 18
162 17
161 18
62 18
68 18
185 17
186 17
127 17
160 1
158 1
152 1
180 1
150 1
142 1
183 1
140 1
108 1
128 1
