problem_instance_file_name mulsol.i.4.col
cmd line 
solver version 
number_of_vertices 185
number_of_edges: 3946
time_limit_sec 600
number_of_worker_processes 2
number_of_cores_per_worker 4
wall_time_sec 0.0228065
is_within_time_limit 1
number_of_colors 31
2 1
17 1
1 2
26 2
25 3
24 4
23 5
22 6
21 7
20 8
19 9
32 10
31 11
30 12
29 13
28 14
27 15
18 16
16 3
3 4
14 5
13 6
10 7
12 8
9 9
11 10
8 11
7 12
6 13
60 17
49 14
5 15
50 16
51 17
71 18
4 18
15 19
52 20
53 21
54 22
83 19
63 23
61 24
70 25
67 26
66 27
65 28
85 20
86 21
89 22
90 23
92 24
93 25
95 26
96 27
107 29
116 28
34 28
128 29
162 23
129 29
88 27
142 29
163 24
113 29
115 30
114 31
174 17
119 29
82 23
130 30
131 30
132 30
133 31
136 30
164 25
120 30
143 30
144 31
173 18
33 30
124 28
38 17
98 28
99 29
123 29
118 29
109 28
110 29
111 29
117 30
35 28
152 30
153 30
150 28
154 30
147 29
146 30
145 30
172 19
155 30
140 29
156 30
137 29
135 30
134 30
81 22
87 25
36 29
158 29
138 29
121 29
122 28
125 28
148 29
103 29
106 29
105 29
104 29
112 29
102 29
101 29
100 29
97 28
171 20
39 17
170 21
40 17
80 21
94 26
84 24
79 20
41 17
91 24
169 22
42 17
168 23
78 24
167 24
43 17
64 25
46 14
77 19
44 17
47 14
69 19
45 17
180 23
181 23
48 14
55 17
177 17
56 17
73 20
74 21
72 20
183 18
57 17
178 19
58 17
37 20
59 17
75 19
76 19
176 18
165 17
166 18
175 17
161 17
160 18
68 18
62 18
184 17
185 17
126 17
108 1
159 1
127 1
179 1
157 1
139 1
182 1
141 1
149 1
151 1
