problem_instance_file_name miles250.col
cmd line 
solver version 
number_of_vertices 128
number_of_edges: 774
time_limit_sec 10000
number_of_worker_processes 8
number_of_cores_per_worker 4
wall_time_sec 0.063294
is_within_time_limit 1
number_of_colors 8
1 1
2 2
3 2
4 4
5 1
6 5
7 2
8 5
9 6
10 5
11 4
12 2
13 4
14 1
15 1
16 1
17 2
18 3
19 6
20 1
21 1
22 5
23 4
24 8
25 5
26 6
27 1
28 6
29 2
30 2
31 4
32 3
33 2
34 1
35 1
36 6
37 1
38 7
39 4
40 5
41 3
42 2
43 1
44 1
45 6
46 6
47 2
48 2
49 2
50 1
51 1
52 2
53 4
54 3
55 4
56 2
57 5
58 7
59 1
60 1
61 1
62 3
63 4
64 3
65 1
66 8
67 1
68 5
69 3
70 1
71 2
72 3
73 3
74 1
75 4
76 4
77 4
78 1
79 2
80 2
81 3
82 3
83 1
84 2
85 3
86 2
87 2
88 2
89 3
90 1
91 4
92 1
93 1
94 2
95 4
96 1
97 3
98 2
99 1
100 2
101 4
102 3
103 3
104 5
105 2
106 3
107 2
108 4
109 3
110 3
111 3
112 1
113 3
114 3
115 7
116 6
117 4
118 4
119 2
120 2
121 2
122 2
123 4
124 2
125 5
126 5
127 5
128 3
