problem_instance_file_name queen11_11.col
cmd line
solver version
number_of_vertices 121
number_of_edges: 3960
time_limit_sec 9500
number_of_worker_processes 1024
number_of_cores_per_worker 4
wall_time_sec > 10000
is_within_time_limit 0
number_of_colors 13
1 8
2 13
3 11
4 12
5 4
6 10
7 5
8 2
9 3
10 9
11 6
12 9
13 7
14 1
15 2
16 13
17 8
18 3
19 6
20 5
21 12
22 11
23 3
24 5
25 12
26 4
27 9
28 1
29 11
30 7
31 2
32 8
33 10
34 13
35 8
36 2
37 3
38 6
39 5
40 10
41 1
42 9
43 7
44 4
45 5
46 9
47 6
48 7
49 2
50 3
51 8
52 4
53 12
54 1
55 13
56 6
57 11
58 5
59 9
60 1
61 4
62 2
63 3
64 8
65 10
66 12
67 4
68 12
69 7
70 6
71 5
72 13
73 9
74 10
75 1
76 2
77 3
78 11
79 1
80 8
81 10
82 3
83 2
84 6
85 5
86 7
87 4
88 9
89 10
90 2
91 9
92 1
93 8
94 12
95 4
96 11
97 6
98 5
99 7
100 12
101 3
102 10
103 5
104 7
105 6
106 1
107 13
108 4
109 11
110 8
111 7
112 6
113 4
114 13
115 11
116 9
117 12
118 8
119 10
120 3
121 1
