problem_instance_file_name miles1000.col
cmd line 
solver version 
number_of_vertices 128
number_of_edges: 6432
time_limit_sec 10000
number_of_worker_processes 8
number_of_cores_per_worker 4
wall_time_sec 0.342815
is_within_time_limit 1
number_of_colors 42
1 13
2 29
3 4
4 6
5 2
6 37
7 4
8 7
9 5
10 21
11 16
12 5
13 19
14 20
15 16
16 3
17 2
18 11
19 35
20 33
21 3
22 5
23 7
24 36
25 41
26 10
27 2
28 12
29 12
30 34
31 6
32 7
33 9
34 5
35 6
36 3
37 11
38 30
39 29
40 15
41 20
42 14
43 11
44 10
45 25
46 22
47 19
48 8
49 1
50 15
51 2
52 13
53 40
54 14
55 15
56 1
57 12
58 38
59 8
60 6
61 11
62 6
63 12
64 20
65 10
66 18
67 25
68 9
69 32
70 30
71 22
72 3
73 30
74 14
75 26
76 3
77 13
78 31
79 28
80 16
81 13
82 2
83 27
84 35
85 17
86 1
87 1
88 5
89 11
90 26
91 8
92 10
93 17
94 37
95 2
96 4
97 32
98 18
99 19
100 23
101 34
102 24
103 8
104 9
105 25
106 3
107 14
108 21
109 4
110 17
111 23
112 4
113 31
114 22
115 24
116 39
117 27
118 42
119 9
120 1
121 8
122 27
123 15
124 7
125 33
126 16
127 28
128 1
