problem_instance_file_name miles750.col
cmd line 
solver version 
number_of_vertices 128
number_of_edges: 4226
time_limit_sec 10000
number_of_worker_processes 8
number_of_cores_per_worker 4
wall_time_sec 0.954143
is_within_time_limit 1
number_of_colors 31
1 15
2 9
3 2
4 7
5 3
6 6
7 24
8 1
9 4
10 24
11 9
12 7
13 4
14 8
15 10
16 1
17 1
18 8
19 22
20 26
21 5
22 3
23 13
24 28
25 4
26 11
27 9
28 12
29 6
30 29
31 2
32 9
33 4
34 4
35 5
36 10
37 6
38 31
39 14
40 13
41 5
42 8
43 15
44 9
45 20
46 2
47 10
48 8
49 3
50 10
51 1
52 16
53 30
54 9
55 6
56 8
57 16
58 7
59 6
60 16
61 17
62 5
63 4
64 14
65 3
66 18
67 10
68 6
69 22
70 5
71 11
72 7
73 21
74 10
75 15
76 2
77 2
78 18
79 8
80 3
81 7
82 8
83 23
84 2
85 5
86 6
87 10
88 4
89 17
90 12
91 3
92 10
93 21
94 25
95 3
96 7
97 2
98 4
99 17
100 19
101 13
102 5
103 17
104 1
105 17
106 1
107 8
108 13
109 1
110 11
111 3
112 1
113 19
114 20
115 11
116 27
117 6
118 1
119 5
120 8
121 7
122 12
123 13
124 12
125 16
126 14
127 1
128 7
