problem_instance_file_name miles1500.col
cmd line 
solver version 
number_of_vertices 128
number_of_edges: 10396
time_limit_sec 10000
number_of_worker_processes 8
number_of_cores_per_worker 4
wall_time_sec 0.34571
is_within_time_limit 1
number_of_colors 73
1 20
2 57
3 3
4 16
5 21
6 58
7 48
8 19
9 9
10 64
11 19
12 52
13 59
14 53
15 8
16 47
17 24
18 22
19 15
20 65
21 11
22 5
23 34
24 68
25 71
26 20
27 10
28 30
29 2
30 67
31 51
32 43
33 45
34 37
35 33
36 4
37 30
38 73
39 11
40 14
41 69
42 1
43 18
44 53
45 52
46 72
47 32
48 15
49 13
50 10
51 36
52 31
53 42
54 4
55 40
56 2
57 41
58 49
59 12
60 1
61 14
62 21
63 6
64 35
65 50
66 38
67 33
68 24
69 54
70 39
71 50
72 54
73 23
74 2
75 47
76 22
77 5
78 9
79 7
80 14
81 7
82 20
83 60
84 63
85 23
86 12
87 31
88 25
89 55
90 17
91 26
92 27
93 62
94 51
95 15
96 56
97 34
98 42
99 32
100 28
101 29
102 16
103 49
104 18
105 4
106 5
107 44
108 6
109 12
110 8
111 66
112 1
113 61
114 13
115 46
116 70
117 5
118 16
119 48
120 46
121 35
122 36
123 37
124 17
125 1
126 43
127 45
128 3
